_to,_from,cityFrom,cityTo,distance,time
1,2,Greenock,Glasgow,43.8,
2,3,Glasgow,Preston,,
2,17,Glasgow,Edinburgh,75.4,67
3,4,Preston,Birmingham,793,437
4,5,Birmingham,Southampton,1691,951
4,855,Birmingham,Cambridge,,
6,7,Le Havre,Paris,197,144
6,880,Le Havre,Amiens,182,120
7,8,Paris,Orléans,133,95
7,22,Paris,Calais,295,179
7,23,Paris,Lyon,466,267
7,411,Paris,Brussels,313,203
7,453,Paris,Le Mans,208,132
7,454,Paris,Reims,146,97
7,889,Paris,Chaumont,,
8,9,Orléans,Bordeaux,463,272
8,479,Orléans,Tours,118,79
8,480,Orléans,Montargis,74.3,60
8,561,Orléans,Toulouse,554,323
9,10,Bordeaux,San Sebastián,236,162
9,537,Bordeaux,Clermont-Ferrand,375,233
9,561,Bordeaux,Toulouse,245,148
9,1074,Bordeaux,Angoulême,119,95
10,11,San Sebastián,Burgos,214,136
10,536,San Sebastián,Bilbao,102,72
10,561,San Sebastián,Toulouse,349,206
11,12,Burgos,Madrid,249,152
11,560,Burgos,Valladolid,127,82
12,13,Madrid,Seville,535,304
12,27,Madrid,Barcelona,621,360
12,30,Madrid,Valencia,,
12,559,Madrid,Lisbon,630,358
13,14,Seville,Algeciras,184,115
13,596,Seville,Huelva,92.7,66
13,1138,Seville,Mérida,,
14,34,Algeciras,Málaga,135,88
15,16,Inverness,Perth,,
16,17,Perth,Edinburgh,,
17,18,Edinburgh,Newcastle,193,143
18,19,Newcastle,London,444,306
18,823,Newcastle,Carlisle,,
19,20,London,Folkestone,114,104
19,388,London,Bristol,189,142
19,389,London,Colchester,105,89
19,627,London,Northampton,,
20,21,Folkestone,Dover,,
22,409,Calais,Bruges,113,84
22,885,Calais,Rouen,214,132
23,24,Lyon,Orange,,
23,537,Lyon,Clermont-Ferrand,165,109
23,538,Lyon,Chambéry,107,76
23,1078,Lyon,Pont-d'Ain,58.8,
23,1109,Lyon,Grenoble,111,76
24,25,Orange,Narbonne,,
24,1110,Orange,Marseille,,
25,26,Narbonne,Girona,158,109
26,27,Girona,Barcelona,105,83
27,28,Barcelona,Tarragona,101,79
27,561,Barcelona,Toulouse,395,251
28,29,Tarragona,Castellón de la Plana,188,117
29,30,Castellón de la Plana,Valencia,,
30,31,Valencia,Alicante,,
31,32,Alicante,Murcia,81.5,
32,33,Murcia,Almería,218,134
33,34,Almería,Málaga,200,129
34,1159,Málaga,Granada,131,90
35,36,Hook of Holland,Rotterdam,30.3,
35,392,Hook of Holland,The Hague,19.2,
36,37,Rotterdam,Eindhoven,111,77
36,631,Rotterdam,Ludwigshafen,479,294
37,38,Eindhoven,Maastricht,89.9,66
37,628,Eindhoven,Antwerp,88.0,72
37,863,Eindhoven,Venlo,59.4,
37,1011,Eindhoven,Breda,60.5,
38,39,Maastricht,Liège,36.5,
39,40,Liège,Bastogne,86.8,
39,412,Liège,Leuven,82.3,
39,413,Liège,Eupen,38.8,
39,628,Liège,Antwerp,130,86
39,875,Liège,Namur,65.0,
39,876,Liège,St. Vith,79.1,
39,881,Liège,Charleville-Mézières,182,116
40,41,Bastogne,Arlon,,
41,42,Arlon,Luxembourg,,
42,43,Luxembourg,Metz,99.7,69
42,876,Luxembourg,St. Vith,62.6,
42,881,Luxembourg,Charleville-Mézières,144,112
42,882,Luxembourg,Trier,72.4,
43,44,Metz,Saint-Avold,45.8,
43,50,Metz,Lausanne,378,284
43,51,Metz,Geneva,518,299
43,411,Metz,Brussels,274,177
43,454,Metz,Reims,189,114
43,455,Metz,Saarbrücken,77.6,
44,45,Saint-Avold,Strasbourg,128,80
45,46,Strasbourg,Mulhouse,114,75
45,888,Strasbourg,Appenweier,22.2,
46,47,Mulhouse,Basel,36.7,
46,485,Mulhouse,Belfort,40.6,
46,889,Mulhouse,Chaumont,,
46,1036,Mulhouse,Remiremont,82.2,90
47,48,Basel,Olten,52.8,
47,73,Basel,Offenburg,123,83
47,486,Basel,Zürich,87.4,69
47,890,Basel,Waldshut,64.0,
48,49,Olten,Bern,66.4,
48,74,Olten,Lucerne,54.1,
49,50,Bern,Lausanne,105,76
49,485,Bern,Belfort,151,116
49,629,Bern,Martigny,132,83
50,51,Lausanne,Geneva,63.7,
50,629,Lausanne,Martigny,69.8,
51,52,Geneva,Mont Blanc,,
51,538,Geneva,Chambéry,87.7,67
