_to,_from,cityFrom,cityTo
1,2,Greenock,Glasgow
2,3,Glasgow,Preston
2,17,Glasgow,Edinburgh
3,4,Preston,Birmingham
4,5,Birmingham,Southampton
4,855,Birmingham,Cambridge
6,7,Le Havre,Paris
6,880,Le Havre,Amiens
7,8,Paris,Orléans
7,22,Paris,Calais
7,23,Paris,Lyon
7,411,Paris,Brussels
7,453,Paris,Le Mans
7,454,Paris,Reims
7,889,Paris,Chaumont
8,9,Orléans,Bordeaux
8,479,Orléans,Tours
8,480,Orléans,Montargis
8,561,Orléans,Toulouse
9,10,Bordeaux,San Sebastián
9,537,Bordeaux,Clermont-Ferrand
9,561,Bordeaux,Toulouse
9,1074,Bordeaux,Angoulême
10,11,San Sebastián,Burgos
10,536,San Sebastián,Bilbao
10,561,San Sebastián,Toulouse
11,12,Burgos,Madrid
11,560,Burgos,Valladolid
12,13,Madrid,Seville
12,27,Madrid,Barcelona
12,30,Madrid,Valencia
12,559,Madrid,Lisbon
13,14,Seville,Algeciras
13,596,Seville,Huelva
13,1138,Seville,Mérida
14,34,Algeciras,Málaga
15,16,Inverness,Perth
16,17,Perth,Edinburgh
17,18,Edinburgh,Newcastle
18,19,Newcastle,London
18,823,Newcastle,Carlisle
19,20,London,Folkestone
19,388,London,Bristol
19,389,London,Colchester
19,627,London,Northampton
20,21,Folkestone,Dover
22,409,Calais,Bruges
22,885,Calais,Rouen
23,24,Lyon,Orange
23,537,Lyon,Clermont-Ferrand
23,538,Lyon,Chambéry
23,1078,Lyon,Pont-d'Ain
23,1109,Lyon,Grenoble
24,25,Orange,Narbonne
24,1110,Orange,Marseille
25,26,Narbonne,Girona
26,27,Girona,Barcelona
27,28,Barcelona,Tarragona
27,561,Barcelona,Toulouse
28,29,Tarragona,Castellón de la Plana
29,30,Castellón de la Plana,Valencia
30,31,Valencia,Alicante
31,32,Alicante,Murcia
32,33,Murcia,Almería
33,34,Almería,Málaga
34,1159,Málaga,Granada
35,36,Hook of Holland,Rotterdam
35,392,Hook of Holland,The Hague
36,37,Rotterdam,Eindhoven
36,631,Rotterdam,Ludwigshafen
37,38,Eindhoven,Maastricht
37,628,Eindhoven,Antwerp
37,863,Eindhoven,Venlo
37,1011,Eindhoven,Breda
38,39,Maastricht,Liège
39,40,Liège,Bastogne
39,412,Liège,Leuven
39,413,Liège,Eupen
39,628,Liège,Antwerp
39,875,Liège,Namur
39,876,Liège,St. Vith
39,881,Liège,Charleville-Mézières
40,41,Bastogne,Arlon
41,42,Arlon,Luxembourg
42,43,Luxembourg,Metz
42,876,Luxembourg,St. Vith
42,881,Luxembourg,Charleville-Mézières
42,882,Luxembourg,Trier
43,44,Metz,Saint-Avold
43,50,Metz,Lausanne
43,51,Metz,Geneva
43,411,Metz,Brussels
43,454,Metz,Reims
43,455,Metz,Saarbrücken
44,45,Saint-Avold,Strasbourg
45,46,Strasbourg,Mulhouse
45,888,Strasbourg,Appenweier
46,47,Mulhouse,Basel
46,485,Mulhouse,Belfort
46,889,Mulhouse,Chaumont
46,1036,Mulhouse,Remiremont
47,48,Basel,Olten
47,73,Basel,Offenburg
47,486,Basel,Zürich
47,890,Basel,Waldshut
48,49,Olten,Bern
48,74,Olten,Lucerne
49,50,Bern,Lausanne
49,485,Bern,Belfort
49,629,Bern,Martigny
50,51,Lausanne,Geneva
50,629,Lausanne,Martigny
51,52,Geneva,Mont Blanc
51,538,Geneva,Chambéry
51,901,Geneva,Mâcon
52,53,Mont Blanc,Aosta
53,54,Aosta,Ivrea
53,629,Aosta,Martigny
54,55,Ivrea,Vercelli
54,540,Ivrea,Turin
55,56,Vercelli,Alessandria
56,57,Alessandria,Genoa
56,540,Alessandria,Turin
56,541,Alessandria,Tortona
56,912,Alessandria,Asti
57,86,Genoa,Rome
57,541,Genoa,Tortona
57,562,Genoa,Nice
58,59,Bastia,Porto-Vecchio
59,60,Porto-Vecchio,Bonifacio
61,62,Porto Torres,Sassari
62,63,Sassari,Cagliari
62,1144,Sassari,Olbia
64,65,Amsterdam,Utrecht
64,394,Amsterdam,Amersfoort
64,411,Amsterdam,Brussels
64,842,Amsterdam,Groningen
65,66,Utrecht,Arnhem
65,393,Utrecht,Gouda
65,394,Utrecht,Amersfoort
